sample	layout	read	remote_relpath	url	md5	bytes
ERR12507189	PE	R1	fastq_public/swiss/ERR12507189_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/089/ERR12507189/ERR12507189_1.fastq.gz	501688b5dd29a5d306f1659a40148a8b	8982636535
ERR12507189	PE	R2	fastq_public/swiss/ERR12507189_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/089/ERR12507189/ERR12507189_2.fastq.gz	c00a8f7a61231692aec87d352743af9e	9627176901
ERR12507194	PE	R1	fastq_public/swiss/ERR12507194_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/094/ERR12507194/ERR12507194_1.fastq.gz	f5df6905f8febe9a72440200f80c8e27	10474739275
ERR12507194	PE	R2	fastq_public/swiss/ERR12507194_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/094/ERR12507194/ERR12507194_2.fastq.gz	ba847359b8b1c59fc2863390e0673581	10719238360
ERR12507211	PE	R1	fastq_public/swiss/ERR12507211_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/011/ERR12507211/ERR12507211_1.fastq.gz	af9f9e4ac509648029eaec84c4ffdbea	9750870210
ERR12507211	PE	R2	fastq_public/swiss/ERR12507211_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/011/ERR12507211/ERR12507211_2.fastq.gz	683ac1d047ee93cf2f9f39894ba550b7	10356923190
ERR2985415	PE	R1	fastq_public/swiss/ERR2985415_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985415/ERR2985415_1.fastq.gz	812b6e80db32bab86dc725310b3116aa	7606572221
ERR2985415	PE	R2	fastq_public/swiss/ERR2985415_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2985415/ERR2985415_2.fastq.gz	298eb9a2765142c15829881780f4083b	8065660916
ERR2985416	PE	R1	fastq_public/swiss/ERR2985416_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985416/ERR2985416_1.fastq.gz	dc9cb2bc95b00b034e0bac79886234fb	9727781790
ERR2985416	PE	R2	fastq_public/swiss/ERR2985416_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985416/ERR2985416_2.fastq.gz	697b21b6d4ee241614248f4abacf0dd4	10323838874
ERR7531196	PE	R1	fastq_public/swiss/ERR7531196_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/006/ERR7531196/ERR7531196_1.fastq.gz	72d59e0f4b369be2a38e9430efaa4831	9762005500
ERR7531196	PE	R2	fastq_public/swiss/ERR7531196_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/006/ERR7531196/ERR7531196_2.fastq.gz	a9d83636e536597309a60dd9458c83c7	10211292996
